base_date,etf_code,etf_name,etf_type,base_index,listing_date,delisting_date,theme
20260702,A0148J0,TIGER 코리아휴머노이드로봇산업,일반,KEDI 코리아 휴머노이드로봇산업 지수 (PR),20260106,,로봇
20260702,A0150K0,KoAct 수소전력ESS인프라액티브,일반,FnGuide 수소전력ESS인프라 지수(PR),20260113,,친환경에너지
20260702,A0151P0,RISE 코리아전략산업액티브,일반,KAP 코리아전략산업지수,20260120,,기타
20260702,A0152E0,SOL 배당성향탑픽액티브,일반,FnGuide 배당성향탑픽 지수(PR),20260113,,배당
20260702,A0153K0,KODEX 주주환원고배당주,일반,Akros 주주환원 고배당 지수 (Price Return),20260120,,배당
20260702,A0154F0,WON 초대형IB&금융지주,일반,iSelect 초대형IB&금융지주 지수,20260120,,금융
20260702,A0155N0,HANARO K휴머노이드테마TOP10,일반,iSelect K휴머노이드테마TOP10 지수,20260226,,로봇
20260702,A0162Y0,TIME 코스닥액티브,일반,코스닥지수,20260310,,코스닥대표
20260702,A0163Y0,KoAct 코스닥액티브,일반,코스닥지수,20260310,,코스닥대표
20260702,A0166N0,PLUS 코스닥150액티브,일반,코스닥 150,20260317,,코스닥대표
20260702,A0166S0,PLUS K제조업핵심기업액티브,일반,Akros K제조업 50 지수,20260324,,기타
20260702,A0167A0,SOL AI반도체TOP2플러스,일반,FnGuide AI반도체 TOP2 플러스 지수(PR),20260317,,반도체
20260702,A0167B0,SOL 200타겟위클리커버드콜,일반,코스피 200 타겟 15% 위클리 커버드콜 지수,20260317,,배당
20260702,A0168K0,TIGER 기술이전바이오액티브,일반,KRX 기술이전바이오 지수 (PR),20260317,,바이오
20260702,A0172Y0,ACE K수출핵심TOP10산업액티브,일반,iSelect K수출핵심산업 지수 (시장가격),20260331,,기타
20260702,A0176P0,FOCUS AI반도체위클리고정커버드콜,일반,AI 반도체 위클리 고정 30% 커버드콜 지수,20260407,,반도체
20260702,A0177A0,WON 두산그룹포커스,일반,iSelect 두산그룹 포커스 지수,20260331,,그룹지주
20260702,A0177R0,TIGER 반도체TOP10커버드콜액티브,일반,FnGuide 반도체 TOP10 Capped 지수(Price Return),20260421,,반도체
20260702,A0177X0,ACE K휴머노이드로봇산업TOP2+,일반,Akros K-휴머노이드 로봇 TOP2+ 지수 (시장가격),20260407,,로봇
20260702,A0182R0,1Q K반도체TOP2+,일반,NICE K반도체 TOP2 MAX+ 지수,20260414,,반도체
20260702,A0184V0,UNICORN K바이오액티브,일반,FnGuide K-바이오 밸런스드 지수,20260512,,바이오
20260702,A0189Z0,DAISHIN343 금융&지주고배당,일반,KRX-Akros 금융&지주고배당 지수,20260609,,금융
20260702,A0190C0,RISE 현대차고정피지컬AI,일반,KEDI 현대차고정피지컬AI 지수,20260512,,기타
20260702,A0190G0,KODEX 반도체타겟위클리커버드콜,일반,KRX 반도체 타겟9% 분배 위클리 커버드콜 지수,20260512,,반도체
20260702,A0191B0,MIDAS 코스닥액티브,일반,코스닥지수,20260519,,코스닥대표
20260702,A0191S0,IBK 코스닥150,일반,코스닥 150,20260519,,코스닥대표
20260702,A0192L0,RISE SK하이닉스단일종목레버리지,레버리지,KRX SK하이닉스 레버리지 지수,20260527,,반도체
20260702,A0192M0,RISE 삼성전자단일종목레버리지,레버리지,KRX 삼성전자 레버리지 지수,20260527,,반도체
20260702,A0192T0,SOL 코스닥TOP10,일반,코스닥TOP10지수(PR),20260519,,코스닥대표
20260702,A0193G0,KoAct 코스피액티브,일반,코스피지수,20260519,,코스피대표
20260702,A0193K0,PLUS 삼성전자단일종목레버리지,레버리지,KRX 삼성전자 레버리지 지수,20260527,,반도체
20260702,A0193L0,PLUS 삼성전자선물단일종목인버스2X,인버스 2X,KRX 삼성전자 선물 인버스 -2X 지수,20260527,,반도체
20260702,A0193T0,KODEX SK하이닉스단일종목레버리지,레버리지,KRX SK하이닉스 레버리지 지수,20260527,,반도체
20260702,A0193W0,KODEX 삼성전자단일종목레버리지,레버리지,KRX 삼성전자 레버리지 지수,20260527,,반도체
20260702,A0194M0,ACE 삼성전자단일종목레버리지,레버리지,KRX 삼성전자 레버리지 지수,20260527,,반도체
20260702,A0194N0,KIWOOM 삼성전자선물단일종목레버리지,레버리지,KRX 삼성전자 선물 레버리지 지수,20260527,,반도체
20260702,A0194R0,KIWOOM SK하이닉스선물단일종목레버리지,레버리지,KRX SK하이닉스 선물 레버리지 지수,20260527,,반도체
20260702,A0194T0,ACE SK하이닉스단일종목레버리지,레버리지,KRX SK하이닉스 레버리지 지수,20260527,,반도체
20260702,A0195R0,TIGER 삼성전자단일종목레버리지,레버리지,KRX 삼성전자 레버리지 지수,20260527,,반도체
20260702,A0195S0,TIGER SK하이닉스단일종목레버리지,레버리지,KRX SK하이닉스 레버리지 지수,20260527,,반도체
20260702,A0197W0,SOL SK하이닉스단일종목레버리지,레버리지,KRX SK하이닉스 레버리지 지수,20260527,,반도체
20260702,A0197X0,SOL SK하이닉스선물단일종목인버스2X,인버스 2X,KRX SK하이닉스 선물 인버스 -2X 지수,20260527,,반도체
20260702,A0198A0,KIWOOM 코스닥150커버드콜액티브,일반,코스닥150 위클리고정30% 커버드콜지수,20260630,,배당
20260702,A0198B0,1Q 삼성전자선물단일종목레버리지,레버리지,KRX 삼성전자 선물 레버리지 지수,20260527,,반도체
20260702,A0198D0,1Q SK하이닉스선물단일종목레버리지,레버리지,KRX SK하이닉스 선물 레버리지 지수,20260527,,반도체
20260702,A0199C0,ACE 고배당주Plus커버드콜액티브,일반,KRX-Akros 고배당주 20 위클리 고정 30% 커버드콜 지수,20260602,,배당
20260702,A0204S0,TIGER 코스닥액티브,일반,코스닥지수,20260602,,코스닥대표
20260702,A0207G0,SOL 우주항공밸류체인,일반,Akros 우주항공밸류체인 지수(PR),20260616,,방산
20260702,A0208N0,IBK 코스피액티브,일반,코스피지수,20260623,,코스피대표
20260702,A0209D0,KODEX 전고체배터리ESS TOP2플러스,일반,Akros 한국 전고체 배터리 ESS TOP2 플러스 지수(Price Return),20260623,,2차전지
20260702,A0209Z0,ACE 코리아AI전력TOP10,일반,Akros 코리아 AI전력 TOP 10 지수 (시장가격),20260623,,AI전력인프라
20260702,A0210A0,ACE K반도체TOP2+,일반,KRX K-AI 반도체TOP2+지수 (시장가격),20260623,,반도체
20260702,A0210E0,PLUS 200커버드콜액티브,일반,코스피 200 위클리 고정 30% 커버드콜 지수,20260623,,배당
20260702,A069500,KODEX 200,일반,코스피 200,20021014,,코스피대표
20260702,A069660,KIWOOM 200,일반,코스피 200,20021014,,코스피대표
20260702,A091160,KODEX 반도체,일반,KRX 반도체,20060627,,반도체
20260702,A091170,KODEX 은행,일반,KRX 은행,20060627,,금융
20260702,A091180,KODEX 자동차,일반,KRX 자동차,20060627,,자동차
20260702,A091220,TIGER 은행,일반,KRX 은행,20060627,,금융
20260702,A091230,TIGER 반도체,일반,KRX 반도체,20060627,,반도체
20260702,A100910,KIWOOM KRX100,일반,KRX 100,20080123,,코스피대표
20260702,A102110,TIGER 200,일반,코스피 200,20080403,,코스피대표
20260702,A102780,KODEX 삼성그룹,일반,MKF 삼성그룹지수,20080521,,그룹지주
20260702,A102960,KODEX 기계장비,일반,KRX 기계장비,20080529,,기타
20260702,A102970,KODEX 증권,일반,KRX 증권,20080529,,금융
20260702,A104520,KIWOOM 블루칩,일반,MKF 블루칩,20080729,,기타
20260702,A104530,KIWOOM 코리아고배당,일반,MKF 웰스 고배당 20,20080729,,배당
20260702,A105190,ACE 200,일반,코스피 200,20080925,,코스피대표
20260702,A105780,RISE 5대그룹주,일반,MKF 5대그룹주,20081022,,그룹지주
20260702,A108450,ACE 삼성그룹섹터가중,일반,MKF SAMs SW,20090203,,그룹지주
20260702,A108590,TREX 200,일반,코스피 200,20090123,,코스피대표
20260702,A114800,KODEX 인버스,인버스 1X,코스피 200 선물인버스 지수,20090916,,코스피대표
20260702,A117460,KODEX 에너지화학,일반,KRX 에너지화학,20091012,,원자재
20260702,A117680,KODEX 철강,일반,KRX 철강,20091030,,원자재
20260702,A117700,KODEX 건설,일반,KRX 건설,20091030,,기타
20260702,A122090,PLUS 코스피50,일반,코스피 50,20100107,,코스피대표
20260702,A122630,KODEX 레버리지,레버리지,코스피 200 레버리지지수,20100222,,코스피대표
20260702,A123310,TIGER 인버스,인버스 1X,코스피 200 선물인버스 지수,20100329,,코스피대표
20260702,A123320,TIGER 레버리지,레버리지,코스피 200 레버리지지수,20100409,,코스피대표
20260702,A131890,ACE 삼성그룹동일가중,일반,MKF SAMs EW Index,20100917,,그룹지주
20260702,A138520,TIGER 삼성그룹,일반,MKF SAMs FW,20110307,,그룹지주
20260702,A138530,TIGER LG그룹플러스,일반,MKF LG그룹+ FW,20110310,,그룹지주
20260702,A138540,TIGER 현대차그룹플러스,일반,MKF 현대차그룹+ FW,20110310,,그룹지주
20260702,A139220,TIGER 200 건설,일반,코스피 200 건설,20110406,,코스피대표
20260702,A139230,TIGER 200 중공업,일반,코스피 200 중공업,20110406,,코스피대표
20260702,A139240,TIGER 200 철강소재,일반,코스피 200 철강/소재,20110406,,원자재
20260702,A139250,TIGER 200 에너지화학,일반,코스피 200 에너지/화학,20110406,,원자재
20260702,A139260,TIGER 200 IT,일반,코스피 200 정보기술,20110406,,코스피대표
20260702,A139270,TIGER 200 금융,일반,코스피 200 금융,20110406,,금융
20260702,A139280,TIGER 경기방어,일반,코스피 200 경기방어소비재,20110406,,소비재
20260702,A139290,TIGER 200 경기소비재,일반,코스피 200 경기소비재,20110406,,소비재
20260702,A140570,RISE 수출주,일반,MKF 수출주 지수,20110415,,기타
20260702,A140580,RISE 우량업종대표주,일반,MKF 우량업종대표주 지수,20110415,,팩터
20260702,A140700,KODEX 보험,일반,KRX 보험,20110426,,금융
20260702,A140710,KODEX 운송,일반,KRX 운송,20110426,,기타
20260702,A140950,파워 코스피100,일반,코스피 100,20110503,,코스피대표
20260702,A143860,TIGER 헬스케어,일반,KRX 헬스케어,20110718,,바이오
20260702,A145670,ACE 인버스,인버스 1X,코스피 200 선물인버스 지수,20110908,,코스피대표
20260702,A145850,TREX 펀더멘탈 200,일반,FnGuide-RAFI 코리아200 지수,20110923,,기타
20260702,A147970,TIGER 모멘텀,일반,FnGuide 모멘텀 지수,20111026,,팩터
20260702,A148020,RISE 200,일반,코스피 200,20111020,,코스피대표
20260702,A150460,TIGER 중국소비테마,일반,FnGuide 중국내수테마 지수,20111216,,기타
20260702,A152100,PLUS 200,일반,코스피 200,20120110,,코스피대표
20260702,A152500,ACE 레버리지,레버리지,코스피 200 레버리지지수,20120127,,코스피대표
20260702,A152870,파워 200,일반,코스피 200,20120213,,코스피대표
20260702,A153270,KIWOOM 코스피100,일반,코스피 100,20120228,,코스피대표
20260702,A156080,KODEX MSCI Korea,일반,MSCI Korea Index,20120430,,코스피대표
20260702,A157490,TIGER 소프트웨어,일반,FnGuide 소프트웨어 지수,20120516,,인터넷
20260702,A157500,TIGER 증권,일반,FnGuide 증권 지수,20120516,,금융
20260702,A159800,마이티 코스피100,일반,코스피 100,20120705,,코스피대표
20260702,A161510,PLUS 고배당주,일반,FnGuide 배당주 지수,20120829,,배당
20260702,A166400,TIGER 200커버드콜OTM,일반,코스피 200 커버드콜 5% OTM 지수(PR 지수),20121025,,배당
20260702,A174350,TIGER 로우볼,일반,FnGuide 로우볼 지수,20130620,,기타
20260702,A192720,파워 고배당저변동성,일반,코스피 200 고배당지수,20140220,,배당
20260702,A210780,TIGER 코스피고배당,일반,코스피 고배당 50,20141205,,배당
20260702,A211560,TIGER 배당성장,일반,코스피 배당성장 50,20141217,,배당
20260702,A211900,KODEX 코리아배당성장,일반,코스피 배당성장 50,20141217,,배당
20260702,A213610,KODEX 삼성그룹밸류,일반,WISE 삼성그룹밸류 인덱스,20150108,,그룹지주
20260702,A215620,HK S&P코리아로우볼,일반,S&P Korea 저변동성 지수,20150325,,기타
20260702,A223190,KODEX 200가치저변동,일반,코스피 200 가치저변동성 지수,20150626,,팩터
20260702,A226380,ACE Fn성장소비주도주,일반,FnGuide 성장소비주도 지수,20150819,,기타
20260702,A226490,KODEX 코스피,일반,코스피지수,20150824,,코스피대표
20260702,A226980,KODEX 200 중소형,일반,코스피 200 중소형주지수,20150901,,코스피대표
20260702,A227540,TIGER 200 헬스케어,일반,코스피 200 헬스케어,20150923,,바이오
20260702,A227550,TIGER 200 산업재,일반,코스피 200 산업재,20150923,,코스피대표
20260702,A227560,TIGER 200 생활소비재,일반,코스피 200 생활소비재,20150923,,소비재
20260702,A227570,TIGER 우량가치,일반,FnGuide 퀄리티 밸류 지수,20150923,,팩터
20260702,A227830,PLUS 코스피,일반,코스피지수,20150923,,코스피대표
20260702,A228790,TIGER 화장품,일반,WISE 화장품 지수,20151007,,화장품
20260702,A228800,TIGER 여행레저,일반,WISE 여행레저 지수,20151007,,여행레저
20260702,A228810,TIGER 미디어컨텐츠,일반,WISE 미디어컨텐츠 지수,20151007,,엔터
20260702,A228820,TIGER KTOP30,일반,KTOP 30,20151014,,코스피대표
20260702,A229200,KODEX 코스닥150,일반,코스닥 150,20151001,,코스닥대표
20260702,A229720,KODEX KTOP30,일반,KTOP 30,20151014,,코스피대표
20260702,A232080,TIGER 코스닥150,일반,코스닥 150,20151112,,코스닥대표
20260702,A233160,TIGER 코스닥150 레버리지,레버리지,코스닥 150 레버리지지수,20151217,,코스닥대표
20260702,A233740,KODEX 코스닥150레버리지,레버리지,코스닥 150 레버리지지수,20151217,,코스닥대표
20260702,A234310,RISE V&S셀렉트밸류,일반,FnGuide 셀렉트밸류 지수,20160202,,팩터
20260702,A237350,KODEX 코스피100,일반,코스피 100,20160127,,코스피대표
20260702,A243880,TIGER 200IT레버리지,레버리지,코스피 200 정보기술 레버리지지수,20160513,,코스피대표
20260702,A243890,TIGER 200에너지화학레버리지,레버리지,코스피 200 에너지/화학 레버리지지수,20160513,,원자재
20260702,A244580,KODEX 바이오,일반,FnGuide 바이오 지수,20160513,,바이오
20260702,A244620,KODEX 모멘텀Plus,일반,FnGuide 모멘텀PLUS 지수,20160513,,팩터
20260702,A244660,KODEX 퀄리티Plus,일반,FnGuide 퀄리티PLUS 지수,20160513,,팩터
20260702,A244670,KODEX 밸류Plus,일반,FnGuide 밸류PLUS 지수,20160513,,팩터
20260702,A250780,TIGER 코스닥150선물인버스,인버스 1X,F-코스닥150 인버스지수,20160810,,코스닥대표
20260702,A251340,KODEX 코스닥150선물인버스,인버스 1X,F-코스닥150 인버스지수,20160810,,코스닥대표
20260702,A251590,PLUS 고배당저변동50,일반,FnGuide 고배당저변동50 지수,20160811,,배당
20260702,A252000,TIGER 200동일가중,일반,코스피 200 동일가중지수,20160920,,코스피대표
20260702,A252400,RISE 200선물레버리지,레버리지,코스피 200 선물레버리지지수,20160912,,코스피대표
20260702,A252410,RISE 200선물인버스,인버스 1X,코스피 200 선물인버스 지수,20160912,,코스피대표
20260702,A252420,RISE 200선물인버스2X,인버스 2X,코스피 200 선물인버스 -2X 지수,20160922,,코스피대표
20260702,A252650,KODEX 200동일가중,일반,코스피 200 동일가중지수,20160920,,코스피대표
20260702,A252670,KODEX 200선물인버스2X,인버스 2X,코스피 200 선물인버스 -2X 지수,20160922,,코스피대표
20260702,A252710,TIGER 200선물인버스2X,인버스 2X,코스피 200 선물인버스 -2X 지수,20160922,,코스피대표
20260702,A253150,PLUS 200선물레버리지,레버리지,코스피 200 선물레버리지지수,20160929,,코스피대표
20260702,A253160,PLUS 200선물인버스2X,인버스 2X,코스피 200 선물인버스 -2X 지수,20160922,,코스피대표
20260702,A253230,KIWOOM 200선물인버스2X,인버스 2X,코스피 200 선물인버스 -2X 지수,20160922,,코스피대표
20260702,A253240,KIWOOM 200선물인버스,인버스 1X,코스피 200 선물인버스 지수,20160912,,코스피대표
20260702,A253250,KIWOOM 200선물레버리지,레버리지,코스피 200 선물레버리지지수,20160912,,코스피대표
20260702,A253280,RISE 헬스케어,일반,FnGuide 헬스케어 지수,20160923,,바이오
20260702,A261060,TIGER 코스닥150IT,일반,코스닥 150 정보기술,20161215,,코스닥대표
20260702,A261070,TIGER 코스닥150바이오테크,일반,코스닥 150 생명기술,20161215,,바이오
20260702,A261140,TIGER 우선주,일반,코스피 우선주 지수,20170106,,코스피대표
20260702,A266160,RISE 고배당,일반,FnGuide 고배당포커스 지수,20170414,,배당
20260702,A266360,KODEX K콘텐츠,일반,KRX K콘텐츠,20170328,,엔터
20260702,A266370,KODEX IT,일반,KRX 정보기술,20170328,,기타
20260702,A266390,KODEX 경기소비재,일반,KRX 경기소비재,20170328,,소비재
20260702,A266410,KODEX 필수소비재,일반,KRX 필수소비재,20170328,,친환경에너지
20260702,A266420,KODEX 헬스케어,일반,KRX 헬스케어,20170328,,바이오
20260702,A266550,PLUS 중형주저변동50,일반,FnGuide 중형주저변동50지수,20170328,,기타
20260702,A267770,TIGER 200선물레버리지,레버리지,코스피 200 선물레버리지지수,20170425,,코스피대표
20260702,A270800,RISE KQ고배당,일반,FnGuide KQ고배당포커스지수,20170707,,배당
20260702,A270810,RISE 코스닥150,일반,코스닥 150,20170616,,코스닥대표
20260702,A275280,KODEX 모멘텀주,일반,MSCI Korea IMI Momentum Capped,20170711,,팩터
20260702,A275290,KODEX 가치주,일반,MSCI Korea IMI Enhanced Value Capped,20170711,,팩터
20260702,A275300,KODEX 우량주,일반,MSCI Korea IMI Quality Capped,20170711,,팩터
20260702,A275750,RISE 코스닥150선물인버스,인버스 1X,F-코스닥150 인버스지수,20170801,,코스닥대표
20260702,A277630,TIGER 코스피,일반,코스피지수,20170831,,코스피대표
20260702,A277640,TIGER 코스피대형주,일반,코스피 대형주 지수,20170831,,코스피대표
20260702,A277650,TIGER 코스피중형주,일반,코스피 중형주 지수,20170831,,코스피대표
20260702,A278240,RISE 코스닥150선물레버리지,레버리지,F-코스닥150 레버리지지수,20170831,,코스닥대표
20260702,A278530,KODEX 200TR,일반,코스피 200 TR지수,20171121,,코스피대표
20260702,A278540,KODEX MSCI Korea TR,일반,MSCI Korea TR Index,20171109,,코스피대표
20260702,A279530,KODEX 고배당주,일반,FnGuide 고배당 Plus 지수,20171017,,배당
20260702,A279540,KODEX 최소변동성,일반,KRX 최소변동성 지수,20171017,,기타
20260702,A280920,PLUS 주도업종,일반,FnGuide 주도업종 지수,20171017,,기타
20260702,A281990,RISE 중소형고배당,일반,FnGuide 중소형고배당포커스지수(시장가격지수),20171102,,배당
20260702,A284980,RISE 200금융,일반,코스피 200 금융,20171208,,금융
20260702,A285690,FOCUS ESG리더스,일반,KRX ESG Leaders 150,20171213,,ESG
20260702,A289040,KODEX MSCI KOREA ESG유니버설,일반,MSCI Korea ESG Universal Capped Index,20180207,,ESG
20260702,A289250,TIGER MSCI KOREA ESG유니버설,일반,MSCI Korea ESG Universal Index,20180207,,ESG
20260702,A289260,TIGER MSCI KOREA ESG리더스,일반,MSCI Korea Country ESG Leaders Capped Index,20180207,,ESG
20260702,A289480,TIGER 200커버드콜,일반,코스피 200 커버드콜 ATM 지수,20180209,,배당
20260702,A290080,RISE 200고배당커버드콜ATM,일반,코스피 200 고배당커버드콜 ATM 지수(시장가격지수),20180227,,배당
20260702,A290130,RISE ESG사회책임투자,일반,KRX ESG 사회책임경영(S)지수,20180227,,ESG
20260702,A291620,KIWOOM 코스닥150선물인버스,인버스 1X,F-코스닥150 인버스지수,20180316,,코스닥대표
20260702,A291630,KIWOOM 코스닥150선물레버리지,레버리지,F-코스닥150 레버리지지수,20180316,,코스닥대표
20260702,A292050,RISE KRX300,일반,KRX 300,20180326,,코스피대표
20260702,A292150,TIGER 코리아TOP10,일반,FnGuide TOP10 지수,20180330,,코스피대표
20260702,A292160,TIGER KRX300,일반,KRX 300,20180326,,코스피대표
20260702,A292190,KODEX KRX300,일반,KRX 300,20180326,,코스피대표
20260702,A292500,SOL KRX300,일반,KRX 300,20180326,,코스피대표
20260702,A293180,HANARO 200,일반,코스피 200,20180330,,코스피대표
20260702,A294400,KIWOOM 200TR,일반,코스피 200 TR지수,20180423,,코스피대표
20260702,A295040,SOL 200TR,일반,코스피 200 TR지수,20180423,,코스피대표
20260702,A300610,TIGER K게임,일반,WISE K게임 테마 지수,20180724,,엔터
20260702,A300640,RISE 게임테마,일반,WISE 게임 테마 지수 (시장가격지수),20180724,,엔터
20260702,A300950,KODEX 게임산업,일반,FnGuide 게임 산업 지수,20180724,,엔터
20260702,A301400,PLUS 코스닥150,일반,코스닥 150,20180705,,코스닥대표
20260702,A302450,RISE 코스피,일반,코스피지수,20180724,,코스피대표
20260702,A304760,HANARO KRX300,일반,KRX 300,20180814,,코스피대표
20260702,A304770,HANARO 코스닥150,일반,코스닥 150,20180814,,코스닥대표
20260702,A304780,HANARO 200선물레버리지,레버리지,코스피 200 선물레버리지지수,20180814,,코스피대표
20260702,A305050,ACE 코스피,일반,코스피지수,20181005,,코스피대표
20260702,A305540,TIGER 2차전지테마,일반,WISE 2차전지 테마 지수,20180912,,2차전지
20260702,A305720,KODEX 2차전지산업,일반,FnGuide 2차전지 산업 지수,20180912,,2차전지
20260702,A306520,HANARO 200선물인버스,인버스 1X,코스피 200 선물인버스 지수,20180918,,코스피대표
20260702,A306530,HANARO 코스닥150선물레버리지,레버리지,F-코스닥150 레버리지지수,20180918,,코스닥대표
20260702,A306950,KODEX KRX300레버리지,레버리지,KRX300레버리지,20181016,,코스피대표
20260702,A307510,TIGER 의료기기,일반,FnGuide 의료기기 지수,20181108,,바이오
20260702,A307520,TIGER 지주회사,일반,FnGuide 지주회사 지수,20181108,,그룹지주
20260702,A310960,TIGER 200TR,일반,코스피 200 TR지수,20181120,,코스피대표
20260702,A310970,TIGER MSCI Korea TR,일반,MSCI Korea TR Index,20181120,,코스피대표
20260702,A314700,HANARO 농업융복합산업,일반,FnGuide 농업융복합산업지수(시장가격),20181221,,기타
20260702,A315270,TIGER 200커뮤니케이션서비스,일반,코스피 200 커뮤니케이션서비스,20190115,,코스피대표
20260702,A315930,KODEX Top5PlusTR,일반,FnGuide TOP 5 Plus Total Return 지수,20190122,,코스피대표
20260702,A315960,RISE 대형고배당10TR,일반,WISE 대형고배당10 TR 지수,20190122,,배당
20260702,A316670,KIWOOM 코스닥150,일반,코스닥 150,20190122,,코스닥대표
20260702,A322400,HANARO e커머스,일반,FnGuide E커머스 지수(시장가격),20190423,,기타
20260702,A322410,HANARO K고배당,일반,FnGuide 고배당 알파 지수 (시장가격),20190423,,배당
20260702,A325010,KODEX 성장주,일반,FnGuide 성장 지수(PR),20190531,,팩터
20260702,A325020,KODEX 배당가치,일반,FnGuide SLV 배당가치 지수,20190531,,배당
20260702,A326230,RISE 내수주플러스,일반,FnGuide 내수주플러스 지수,20190620,,기타
20260702,A326240,RISE IT플러스,일반,FnGuide IT플러스 지수,20190620,,기타
20260702,A328370,PLUS 코스피TR,일반,코스피 TR,20190625,,코스피대표
20260702,A332500,ACE 200TR,일반,코스피 200 TR지수,20190828,,코스피대표
20260702,A332930,HANARO 200TR,일반,코스피 200 TR지수,20190828,,코스피대표
20260702,A332940,HANARO MSCI Korea TR,일반,MSCI Korea TR Index,20190828,,코스피대표
