base_date,date,etf_code,etf_name,etf_type,base_index,cu_size,listing_date,delisting_date,mktcap,close,ret,nav,disparity,shares_out,num_cu,cu_value
20260702,20260706,A0018C0,PLUS 고배당주위클리고정커버드콜,일반,코스피 고배당 위클리 고정 커버드콜 지수,50000.0,20250305,,79170.0,10920.0,1.49,10912.81,0.07,7250000.0,145.0,545640500.0
20260702,20260707,A0018C0,PLUS 고배당주위클리고정커버드콜,일반,코스피 고배당 위클리 고정 커버드콜 지수,50000.0,20250305,,78936.0,11040.0,1.1,11066.97,-0.24,7150000.0,143.0,553348500.0
20260702,20260708,A0018C0,PLUS 고배당주위클리고정커버드콜,일반,코스피 고배당 위클리 고정 커버드콜 지수,50000.0,20250305,,78840.0,10950.0,-0.82,10901.33,0.45,7200000.0,144.0,545066500.0
20260702,20260709,A0018C0,PLUS 고배당주위클리고정커버드콜,일반,코스피 고배당 위클리 고정 커버드콜 지수,50000.0,20250305,,77031.25,10625.0,-2.97,10695.28,-0.66,7250000.0,145.0,534764000.00000006
20260702,20260703,A0052D0,TIGER 코리아배당다우존스,일반,Dow Jones Korea Dividend 30 지수 (Price Return),50000.0,20250520,,356511.0,15740.0,2.74,15785.28,-0.29,22650000.0,453.0,789264000.0
20260702,20260706,A0052D0,TIGER 코리아배당다우존스,일반,Dow Jones Korea Dividend 30 지수 (Price Return),50000.0,20250520,,357643.5,15790.0,0.32,15879.48,-0.56,22650000.0,453.0,793974000.0
20260702,20260707,A0052D0,TIGER 코리아배당다우존스,일반,Dow Jones Korea Dividend 30 지수 (Price Return),50000.0,20250520,,358319.5,15890.0,0.63,15967.37,-0.48,22550000.0,451.0,798368500.0
20260702,20260708,A0052D0,TIGER 코리아배당다우존스,일반,Dow Jones Korea Dividend 30 지수 (Price Return),50000.0,20250520,,353584.0,15680.0,-1.32,15653.47,0.17,22550000.0,451.0,782673500.0
20260702,20260709,A0052D0,TIGER 코리아배당다우존스,일반,Dow Jones Korea Dividend 30 지수 (Price Return),50000.0,20250520,,343549.25,15235.0,-2.84,15481.88,-1.59,22550000.0,451.0,774094000.0
20260702,20260703,A0053M0,더제이 중소형포커스액티브,일반,코스피 200 중소형주지수,50000.0,20250722,,6502.5,14450.0,-0.28,14581.96,-0.9,450000.0,9.0,729098000.0
20260702,20260706,A0053M0,더제이 중소형포커스액티브,일반,코스피 200 중소형주지수,50000.0,20250722,,6423.75,14275.0,-1.21,14374.01,-0.69,450000.0,9.0,718700500.0
20260702,20260707,A0053M0,더제이 중소형포커스액티브,일반,코스피 200 중소형주지수,50000.0,20250722,,6329.25,14065.0,-1.47,14149.15,-0.59,450000.0,9.0,707457500.0
20260702,20260708,A0053M0,더제이 중소형포커스액티브,일반,코스피 200 중소형주지수,50000.0,20250722,,5985.0,13300.0,-5.44,13390.9,-0.68,450000.0,9.0,669545000.0
20260702,20260709,A0053M0,더제이 중소형포커스액티브,일반,코스피 200 중소형주지수,50000.0,20250722,,5922.0,13160.0,-1.05,13253.34,-0.7,450000.0,9.0,662667000.0
20260702,20260703,A0074K0,KoAct K수출핵심기업TOP30액티브,일반,KEDI K수출핵심기업TOP30 지수(PR),50000.0,20250708,,155867.0,19730.0,2.1,19684.76,0.23,7900000.0,158.0,984237999.9999999
