,Account,W200300,R102300,W202100,W200100,S102100,S102100,S102100,S102100,S102100,S100100,S100100,S100100,S100100,S100100,S100500,S100500,S100500,S100500,S100500,W201100,W201100,W201100,W201100,W201100,W201200,W201200,W201200,W201200,W201200,S101500,S101500,S101500,S101500,S101500,W402600,,,,,
,Period, ,,, ,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,num_cu_20260626,num_cu_20260629,num_cu_20260630,num_cu_20260701,num_cu_20260702
,Unit,Txt,Txt,Txt,Txt,Local mn,Local mn,Local mn,Local mn,Local mn,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Shares,Shares,Shares,Shares,Shares,X,,,,,
,Base Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Name,상장일,상장폐지일,"ETF레버리지,인버스구분",ETF기초지수명,시가총액,시가총액,시가총액,시가총액,시가총액,종가,종가,종가,종가,종가,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,상장주식수,상장주식수,상장주식수,상장주식수,상장주식수,CU구성좌수,,,,,
A0098F0,KODEX 원자력SMR,20250916,,일반,iSelect 원자력SMR 지수(Price Return),223924,233475,228975,231700,219522.5,15130,16500,16125,16550,15850,-7.01,9.05,-2.27,2.64,-4.23,15196.32,16480.34,16092.42,16569.41,15865.74,-0.44,0.12,0.2,-0.12,-0.1,14800000,14150000,14200000,14000000,13850000,50000,296,283,284,280,277
A0098N0,PLUS 자사주매입고배당주,20250916,,일반,FnGuide 고배당주 플러스 자사주 지수 (PR),72954,76835,76771.5,77406.5,79152.75,11580,12100,12090,12190,12465,-2.44,4.49,-0.08,0.83,2.26,11615.4,12130.53,12061.1,12232.17,12505.63,-0.3,-0.25,0.24,-0.34,-0.32,6300000,6350000,6350000,6350000,6350000,50000,126,127,127,127,127
A0098Z0,FOCUS 200,20250923,,일반,코스피 200,69120,70158,71043,69114,62973,115200,116930,118405,115190,104955,-8.29,1.5,1.26,-2.72,-8.89,117388.82,116378.76,117878.36,114699.68,105085.45,-1.86,0.47,0.45,0.43,-0.12,600000,600000,600000,600000,600000,50000,12,12,12,12,12
A0100K0,KODEX 방산TOP10레버리지,20250916,,레버리지,iSelect 방산 TOP10 레버리지 지수,42120,46332,42606,49140,49194,7800,8580,7890,9100,9110,-9.93,10,-8.04,15.34,0.11,7877.99,8490.05,7945.1,9051.31,9247.22,-0.99,1.06,-0.69,0.54,-1.48,5400000,5400000,5400000,5400000,5400000,100000,54,54,54,54,54
A0101N0,RISE AI전력인프라,20250923,,일반,KRX-Akros AI 전력인프라 지수,584671.5,633730.5,667440,737077.5,699716.25,18830,20410,21600,23970,22755,-4.92,8.39,5.83,10.97,-5.07,18926.7,20421.11,21553.34,24091.98,22676.22,-0.51,-0.05,0.22,-0.51,0.35,31050000,31050000,30900000,30750000,30750000,50000,621,621,618,615,615
A0103T0,1Q K소버린AI,20250930,,일반,iSelect K소버린AI 지수,23445,24915,24480,24390,24570,7815,8305,8160,8130,8190,-3.46,6.27,-1.75,-0.37,0.74,7825.18,8340.22,8138.14,8163.38,8183.59,-0.13,-0.42,0.27,-0.41,0.08,3000000,3000000,3000000,3000000,3000000,50000,60,60,60,60,60
A0104G0,PLUS K방산레버리지,20250930,,레버리지,FnGuide K-방위산업 레버리지 (2x) 지수,18635.5,20680,18894,21855,21561.25,7930,8800,8040,9300,9175,-12.18,10.97,-8.64,15.67,-1.34,7923.88,8714.25,7976.06,9038.39,9334.55,0.08,0.98,0.8,2.89,-1.71,2350000,2350000,2350000,2350000,2350000,50000,47,47,47,47,47
A0104N0,TIGER 200타겟위클리커버드콜,20250923,,일반,코스피 200 타겟 7% 위클리 커버드콜 지수(Price Return),269250,271690,267300,268056,249363,26925,26900,27000,26280,24210,-6.51,-0.09,0.37,-2.67,-7.88,26829.23,26549.24,26915.61,26213.72,23938.83,0.36,1.32,0.31,0.25,1.13,10000000,10100000,9900000,10200000,10300000,100000,100,101,99,102,103
A0104P0,TIGER 코리아배당다우존스위클리커버드콜,20250923,,일반,KRX 다우존스 코리아 배당 30 타겟 7% 위클리 커버드콜 지수,21850.5,22711.5,22354.5,22680,19854,10405,10815,10645,10800,11030,-2.48,4.95,-1.57,1.46,2.13,10278.02,10773.5,10629.11,10831.79,11079.28,1.24,0.39,0.15,-0.29,-0.44,2100000,2100000,2100000,2100000,1800000,100000,21,21,21,21,18
A0105D0,SOL 한국AI소프트웨어,20250923,,일반,KEDI 한국AI소프트웨어 지수(PR),17608.5,18183,17812.5,17831.5,17879,9030,9570,9375,9385,9410,-3.83,5.98,-2.04,0.11,0.27,9054.66,9575.31,9361.95,9370.65,9403.69,-0.27,-0.06,0.14,0.15,0.07,1950000,1900000,1900000,1900000,1900000,50000,39,38,38,38,38
