,Account,W200300,R102300,W202100,W200100,S102100,S102100,S102100,S102100,S102100,S100100,S100100,S100100,S100100,S100100,S100500,S100500,S100500,S100500,S100500,W201100,W201100,W201100,W201100,W201100,W201200,W201200,W201200,W201200,W201200,S101500,S101500,S101500,S101500,S101500,W402600,,,,,
,Period, ,,, ,20260703,20260706,20260707,20260708,20260709,20260703,20260706,20260707,20260708,20260709,20260703,20260706,20260707,20260708,20260709,20260703,20260706,20260707,20260708,20260709,20260703,20260706,20260707,20260708,20260709,20260703,20260706,20260707,20260708,20260709,20260703,num_cu_20260703,num_cu_20260706,num_cu_20260707,num_cu_20260708,num_cu_20260709
,Unit,Txt,Txt,Txt,Txt,Local mn,Local mn,Local mn,Local mn,Local mn,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Shares,Shares,Shares,Shares,Shares,X,,,,,
,Base Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Name,상장일,상장폐지일,"ETF레버리지,인버스구분",ETF기초지수명,시가총액,시가총액,시가총액,시가총액,시가총액,종가,종가,종가,종가,종가,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,상장주식수,상장주식수,상장주식수,상장주식수,상장주식수,CU구성좌수,,,,,
A0148J0,TIGER 코리아휴머노이드로봇산업,20260106,,일반,KEDI 코리아 휴머노이드로봇산업 지수 (PR),576006.75,571485,549711,512120,520817,9435,9300,8895,8260,8380,-0.26,-1.43,-4.35,-7.14,1.45,9426.72,9296.87,8918.39,8275.21,8392.71,0.09,0.03,-0.26,-0.18,-0.15,61050000,61450000,61800000,62000000,62150000,50000,1221,1229,1236,1240,1243
A0150K0,KoAct 수소전력ESS인프라액티브,20260113,,일반,FnGuide 수소전력ESS인프라 지수(PR),27783,27362.5,26698,24514,24500,10290,9950,9535,8755,8750,-1.48,-3.3,-4.17,-8.18,-0.06,10247.87,9920.5,9513.56,8813.2,8792.22,0.41,0.3,0.23,-0.66,-0.48,2700000,2750000,2800000,2800000,2800000,50000,54,55,56,56,56
A0151P0,RISE 코리아전략산업액티브,20260120,,일반,KAP 코리아전략산업지수,203202,197585,185643.5,174034,176085,18815,18380,17110,16040,16380,3.38,-2.31,-6.91,-6.25,2.12,18718.7,18344.26,17169.58,16078.97,16338.3,0.51,0.19,-0.35,-0.24,0.26,10800000,10750000,10850000,10850000,10750000,50000,216,215,217,217,215
A0152E0,SOL 배당성향탑픽액티브,20260113,,일반,FnGuide 배당성향탑픽 지수(PR),30753,31212,30620.75,29614,28769,11390,11560,11555,11390,11065,2.71,1.49,-0.04,-1.43,-2.85,11465.98,11613.21,11578.94,11361.55,11072.86,-0.66,-0.46,-0.21,0.25,-0.07,2700000,2700000,2650000,2600000,2600000,50000,54,54,53,52,52
A0153K0,KODEX 주주환원고배당주,20260120,,일반,Akros 주주환원 고배당 지수 (Price Return),166455,166318,165892,160475,156650,12150,12140,12380,12250,12050,2.14,-0.08,1.98,-1.05,-1.63,12170.27,12199.66,12425.18,12233.07,12200.54,-0.17,-0.49,-0.36,0.14,-1.23,13700000,13700000,13400000,13100000,13000000,100000,137,137,134,131,130
A0154F0,WON 초대형IB&금융지주,20260120,,일반,iSelect 초대형IB&금융지주 지수,40808.25,41391,41091.75,40162.5,39438,12955,13140,13045,12750,12520,4.86,1.43,-0.72,-2.26,-1.8,13002.25,13189.11,13099.06,12736.71,12432.89,-0.36,-0.37,-0.41,0.1,0.7,3150000,3150000,3150000,3150000,3150000,50000,63,63,63,63,63
A0155N0,HANARO K휴머노이드테마TOP10,20260226,,일반,iSelect K휴머노이드테마TOP10 지수,31860,31620,30040,28820,28860,7965,7905,7510,7205,7215,1.46,-0.75,-5,-4.06,0.14,7929.43,7900.71,7564.94,7198.92,7193.06,0.45,0.05,-0.73,0.08,0.31,4000000,4000000,4000000,4000000,4000000,50000,80,80,80,80,80
A0162Y0,TIME 코스닥액티브,20260310,,일반,코스닥지수,338276.25,322311.25,310660,291727.5,255220.5,8775,8275,7925,7275,7430,0.29,-5.7,-4.23,-8.2,2.13,8781.17,8292.83,7919.81,7317.25,7468.32,-0.07,-0.22,0.07,-0.58,-0.51,38550000,38950000,39200000,40100000,34350000,50000,771,779,784,802,687
A0163Y0,KoAct 코스닥액티브,20260310,,일반,코스닥지수,535854,510135,494890.5,469101,453824,10120,9580,9285,8655,8960,0.1,-5.34,-3.08,-6.79,3.52,10111.98,9573.08,9287.02,8665.08,8896.28,0.08,0.07,-0.02,-0.12,0.72,52950000,53250000,53300000,54200000,50650000,50000,1059,1065,1066,1084,1013
A0166N0,PLUS 코스닥150액티브,20260317,,일반,코스닥 150,35880,34932,34314,31857,32703.75,8970,8520,8170,7585,7695,0.5,-5.02,-4.11,-7.16,1.45,8927.36,8481.94,8175.25,7618.03,7736.29,0.48,0.45,-0.06,-0.43,-0.53,4000000,4100000,4200000,4200000,4250000,50000,80,82,84,84,85
A0166S0,PLUS K제조업핵심기업액티브,20260324,,일반,Akros K제조업 50 지수,71020,71021.25,66825,62060,63263.75,13400,13275,12375,11600,11825,4.85,-0.93,-6.78,-6.26,1.94,13372.4,13271.86,12420.48,11579.32,11730.97,0.21,0.02,-0.37,0.18,0.8,5300000,5350000,5400000,5350000,5350000,50000,106,107,108,107,107
A0167A0,SOL AI반도체TOP2플러스,20260317,,일반,FnGuide AI반도체 TOP2 플러스 지수(PR),7717794.75,7414550,6918707.5,6488566.5,6665986.5,24435,23375,21470,20045,20555,4.65,-4.34,-8.15,-6.64,2.54,24385.45,23367.97,21597.83,20035.7,20544.11,0.2,0.03,-0.59,0.05,0.05,315850000,317200000,322250000,323700000,324300000,50000,6317,6344,6445,6474,6486
A0167B0,SOL 200타겟위클리커버드콜,20260317,,일반,코스피 200 타겟 15% 위클리 커버드콜 지수,814900,805000,769014,733026,735841,14500,14375,13635,13020,13070,5.11,-0.86,-5.15,-4.51,0.38,14500.96,14441.34,13700.78,12952.41,13075.83,-0.01,-0.46,-0.48,0.52,-0.04,56200000,56000000,56400000,56300000,56300000,100000,562,560,564,563,563
A0168K0,TIGER 기술이전바이오액티브,20260317,,일반,KRX 기술이전바이오 지수 (PR),160975.6,155601,159433,147347.2,146115,7180,6780,6950,6440,6375,-2.51,-5.57,2.51,-7.34,-1.01,7147.51,6781.33,6926.31,6442.21,6359.89,0.45,-0.02,0.34,-0.03,0.24,22420000,22950000,22940000,22880000,22920000,10000,2242,2295,2294,2288,2292
A0172Y0,ACE K수출핵심TOP10산업액티브,20260331,,일반,iSelect K수출핵심산업 지수 (시장가격),10450,10454.75,10036.75,9371.75,9295.75,11000,11005,10565,9865,9785,1.95,0.05,-4,-6.63,-0.81,10994.78,11036.59,10545.9,9903.76,9713.05,0.05,-0.29,0.18,-0.39,0.74,950000,950000,950000,950000,950000,50000,19,19,19,19,19
A0176P0,FOCUS AI반도체위클리고정커버드콜,20260407,,일반,AI 반도체 위클리 고정 30% 커버드콜 지수,8047.5,7785,7310,6815,6940,16095,15570,14620,13630,13880,4.85,-3.26,-6.1,-6.77,1.83,16042.06,15514.08,14560.36,13571.4,13934.19,0.33,0.36,0.41,0.43,-0.39,500000,500000,500000,500000,500000,50000,10,10,10,10,10
A0177A0,WON 두산그룹포커스,20260331,,일반,iSelect 두산그룹 포커스 지수,25398,25117.5,23829.75,22185,21840.75,9960,9850,9345,8700,8565,0.81,-1.1,-5.13,-6.9,-1.55,9995.27,9848.12,9384.25,8733.49,8540.69,-0.35,0.02,-0.42,-0.38,0.28,2550000,2550000,2550000,2550000,2550000,50000,51,51,51,51,51
A0177R0,TIGER 반도체TOP10커버드콜액티브,20260421,,일반,FnGuide 반도체 TOP10 Capped 지수(Price Return),893592,878187,837630,801875,823606,15120,14710,13620,12830,13220,3.56,-2.71,-7.41,-5.8,3.04,15125.62,14680.87,13705.18,12796.68,13205.5,-0.04,0.2,-0.62,0.26,0.11,59100000,59700000,61500000,62500000,62300000,100000,591,597,615,625,623
